"date","browser","browser_version","visitors","visits","visit_duration","bounces","pageviews"
"2026-03-25","Microsoft Edge","145.0",1,1,0,1,1
"2026-03-25","Chrome","105.0",1,1,0,1,1
"2026-03-25","Chrome","131.0",1,1,0,1,1
"2026-03-25","Chrome","116.0",2,2,0,2,2
"2026-03-25","Chrome","142.0",2,2,0,2,2
"2026-03-25","Firefox","148.0",1,1,0,1,1
"2026-03-25","Chrome","146.0",2,2,39,1,3
"2026-03-25","Chrome","112.0",1,1,0,1,1
"2026-03-25","Chrome","110.0",1,1,0,1,1
"2026-03-25","Chrome","120.0",3,3,0,3,3
"2026-03-25","Chrome","124.0",3,3,0,3,3
"2026-03-26","Chrome","104.0",2,2,0,2,2
"2026-03-26","Chrome","106.0",1,1,0,1,1
"2026-03-26","Safari","26.4",1,1,0,1,1
"2026-03-26","Chrome","69.0",1,2,0,2,2
"2026-03-26","Chrome","108.0",4,4,0,4,4
"2026-03-26","Chrome","145.0",2,2,0,2,2
"2026-03-26","Chrome","111.0",1,1,0,1,1
"2026-03-26","Ecosia","145.0",1,1,0,1,1
"2026-03-26","Chrome","117.0",2,2,0,2,2
"2026-03-26","Chrome","107.0",2,2,0,2,2
"2026-03-26","Microsoft Edge","146.0",1,1,0,1,1
"2026-03-26","Chrome","133.0",2,2,0,2,2
"2026-03-26","Chrome","109.0",1,1,0,1,1
"2026-03-26","Chrome","103.0",1,1,0,1,1
"2026-03-26","Chrome","131.0",1,1,0,1,1
"2026-03-26","Safari","26.1",1,1,0,1,1
"2026-03-26","Chrome","105.0",1,1,0,1,1
"2026-03-26","Chrome","146.0",4,4,0,4,4
"2026-03-26","Chrome","112.0",2,2,0,2,2
"2026-03-26","Chrome","116.0",4,4,0,4,4
"2026-03-26","Chrome","142.0",2,2,0,2,2
"2026-03-26","","",2,2,0,2,2
"2026-03-26","Chrome","124.0",2,2,0,2,2
"2026-03-26","Chrome","120.0",3,3,0,3,3
"2026-03-27","Safari","26.4",1,1,0,1,1
"2026-03-27","Chrome","106.0",1,1,0,1,1
"2026-03-27","Chrome","132.0",1,1,0,1,1
"2026-03-27","Chrome","108.0",1,1,0,1,1
"2026-03-27","Chrome","111.0",1,1,0,1,1
"2026-03-27","Microsoft Edge","143.0",1,1,0,1,1
"2026-03-27","Chrome","117.0",1,1,0,1,1
"2026-03-27","Chrome","109.0",3,3,0,3,3
"2026-03-27","Chrome","133.0",3,3,0,3,3
"2026-03-27","Microsoft Edge","135.0",1,1,47,0,2
"2026-03-27","Chrome","131.0",4,4,0,4,4
"2026-03-27","Safari","26.3",2,2,0,2,2
"2026-03-27","Chrome","105.0",2,2,0,2,2
"2026-03-27","Chrome","146.0",1,1,0,1,1
"2026-03-27","Chrome","142.0",1,1,0,1,1
"2026-03-27","Samsung Browser","29.0",1,1,0,1,1
"2026-03-27","Chrome","124.0",1,1,0,1,1
"2026-03-27","","",2,3,0,3,3
"2026-03-28","Chrome","106.0",1,1,0,1,1
"2026-03-28","Chrome","138.0",6,6,0,6,6
"2026-03-28","Chrome","131.0",1,1,0,1,1
"2026-03-28","Safari","26.3",1,1,0,1,1
"2026-03-28","","",2,3,0,3,3
"2026-03-28","Safari","18.7",1,1,0,1,1
"2026-03-28","Chrome","107.0",1,1,0,1,1
"2026-03-28","Microsoft Edge","146.0",1,1,0,1,1
